# This file contains a set of learnable Zidane's abilities.
# You can set any number of different items.
# Use 0 for a void ability, AA:X for active abilities and SA:X for passive abilities.
# -----------------------------------
# Id;AP
# Ability;Int32
# -----------------------------------
AA:101;40;# Flee
AA:102;40;# Detect
AA:103;40;# What’s That!?
AA:104;35;# Soul Blade
AA:105;50;# Annoy
AA:106;55;# Sacrifice
AA:107;85;# Lucky Seven
AA:108;100;# Thievery
SA:0;95;# Auto-Reflect
SA:1;20;# Auto-Float
SA:2;55;# Auto-Haste
SA:3;25;# Auto-Regen
SA:4;130;# Auto-Life
SA:6;40;# HP+20%
SA:9;30;# Accuracy+
SA:10;30;# Distract
SA:11;170;# Long Reach
SA:12;45;# MP Attack
SA:13;20;# Bird Killer
SA:14;35;# Bug Killer
SA:15;30;# Stone Killer
SA:16;45;# Undead Killer
SA:18;25;# Devil Killer
SA:19;30;# Beast Killer
SA:20;25;# Man Eater
SA:22;50;# Master Thief
SA:23;40;# Steal Gil
SA:25;35;# Add Status
SA:26;20;# Gamble Defense
SA:35;35;# High Tide
SA:36;70;# Counter
SA:38;35;# Protect Girls
SA:39;60;# Eye 4 Eye
SA:40;25;# Body Temp
SA:41;40;# Alert
SA:43;75;# Level Up
SA:44;95;# Ability Up
SA:46;45;# Flee-Gil
SA:48;30;# Insomniac
SA:49;20;# Antibody
SA:50;35;# Bright Eyes
SA:52;85;# Restore HP
SA:53;35;# Jelly
SA:56;30;# Auto-Potion
SA:57;30;# Locomotion
SA:58;25;# Clear Headed
SA:61;65;# Mug
SA:62;40;# Bandit
