# This file contains a set of learnable Vivi's abilities.
# You can set any number of different items.
# Use 0 for a void ability, AA:X for active abilities and SA:X for passive abilities.
# -----------------------------------
# Id;AP
# Ability;Int32
# -----------------------------------
AA:25;25;# Fire
AA:26;50;# Fira
AA:27;75;# Firaga
AA:28;20;# Sleep
AA:29;25;# Blizzard
AA:30;50;# Blizzara
AA:31;85;# Blizzaga
AA:32;20;# Slow
AA:33;25;# Thunder
AA:34;50;# Thundara
AA:35;80;# Thundaga
AA:36;25;# Stop
AA:37;35;# Poison
AA:38;40;# Bio
AA:39;70;# Osmose
AA:40;60;# Drain
AA:41;30;# Demi
AA:42;55;# Comet
AA:43;45;# Death
AA:44;30;# Break
AA:45;55;# Water
AA:46;95;# Meteor
AA:47;95;# Flare
AA:48;150;# Doomsday
SA:0;70;# Auto-Reflect
SA:1;20;# Auto-Float
SA:2;55;# Auto-Haste
SA:3;30;# Auto-Regen
SA:4;70;# Auto-Life
SA:8;30;# MP+20%
SA:24;20;# Healer
SA:25;25;# Add Status
SA:30;30;# Reflect-Null
SA:31;110;# Reflectx2
SA:32;115;# Mag Elem Null
SA:34;140;# Half MP
SA:35;25;# High Tide
SA:40;15;# Body Temp
SA:43;30;# Level Up
SA:44;55;# Ability Up
SA:48;25;# Insomniac
SA:49;30;# Antibody
SA:51;40;# Loudmouth
SA:53;25;# Jelly
SA:54;90;# Return Magic
SA:56;10;# Auto-Potion
SA:57;35;# Locomotion
SA:58;15;# Clear Headed
