# This file contains world map weather colors.
# ----------------------------------------------------------------------------------------------------------------------------------
# light0.vx;light0.vy;light0.vz;light1.vx;light1.vy;light1.vz;light2.vx;light2.vy;light2.vz;light0c.vx;light0c.vy;light0c.vz;ambient.vx;ambient.vy;ambient.vz;ambientcl.vx;ambientcl.vy;ambientcl.vz;goffsetup;toffsetup;fogUP.vx;fogUP.vy;fogUP.vz;goffsetdw;toffsetdw;fogDW.vx;fogDW.vy;fogDW.vz;goffsetcl;toffsetcl;fogCL.vx;fogCL.vy;fogCL.vz;chrBIAS.vx;chrBIAS.vy;chrBIAS.vz;fogAMP;offsetX;scaleY;skyBgColor.r;skyBgColor.g;skyBgColor.b;skyBgColor.a;skyFogColor.r;skyFogColor.g;skyFogColor.b;skyFogColor.a;lightColorFactor
# Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;Int16;UInt16;UInt16;Int16;Int16;Int16;UInt16;UInt16;Int16;Int16;Int16;UInt16;UInt16;Int16;Int16;Int16;Int16;Int16;Int16;UInt16;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single;Single
# ----------------------------------------------------------------------------------------------------------------------------------
100;100;100;724;724;724;1648;1548;1348;256;768;1696;26;26;26;45;49;64;12000;12000;205;217;247;11000;11000;205;217;247;12000;0;205;217;247;3596;3596;3596;4096;0;0;0.4862745;0.7019608;0.8509804;1;1;1;1;1;1;# Daylight 0
1012;1012;1012;724;724;724;1648;1548;1348;450;1000;1900;26;26;26;48;48;48;10000;10000;151;170;255;11000;11000;184;212;255;9000;0;184;212;255;3596;3596;3596;4096;0;0;0.4862745;0.7019608;0.8509804;1;1;1;1;1;1;# Daylight 1
1012;1012;1012;724;724;724;1648;1548;1348;256;768;1596;200;200;200;45;49;64;17000;16000;207;207;247;24008;32000;205;217;247;12000;0;205;217;247;3596;3596;3596;4096;0.15;0.07;0.4862745;0.7019608;0.8509804;1;1;1;1;1;1;# Daylight 2
200;200;300;0;0;0;748;748;976;448;532;1152;200;200;200;48;48;48;23104;27592;136;148;175;28556;29536;136;148;175;17000;13000;136;148;175;2296;2396;2396;1296;0.15;0.07;0.4862745;0.7019608;0.8509804;1;1;1;1;1;1;# Daylight 3
1168;868;468;1112;812;512;1736;1580;1280;2100;2000;800;8;8;8;38;12;12;9312;9280;230;120;40;10000;12000;230;148;56;10288;0;230;148;56;3896;3196;2896;4096;0;0;0.7333333;0.5843138;0.3921569;1;0;0;0;0;0.68;# Evening 0
1168;868;468;1112;812;512;1736;1580;1280;2100;2000;800;8;8;8;38;12;12;12000;12000;230;120;40;10000;12000;230;148;56;10824;0;230;148;56;3896;3196;2896;4096;0;0;0.7333333;0.5843138;0.3921569;1;1;0.772549;0.4156863;1;0.68;# Evening 1
1568;868;468;1112;812;512;1737;1580;1280;2700;1600;800;8;8;8;0;0;0;16000;16000;245;181;80;24864;26240;245;181;90;12288;8000;245;181;90;3896;3196;2896;4096;-0.02;2.76;0.7333333;0.5843138;0.3921569;1;1;0.772549;0.4156863;1;0.68;# Evening 2
1500;868;468;1112;812;512;1737;1580;1280;2000;650;0;8;8;8;0;0;0;25120;31392;245;181;90;28000;29000;245;181;90;15000;15000;245;181;90;3096;2596;2096;1812;-0.02;2.76;0.7333333;0.5843138;0.3921569;1;1;0.772549;0.4156863;1;0.68;# Evening 3
210;210;332;500;447;330;610;500;500;0;320;400;0;20;26;8;8;8;10432;10592;0;64;70;11302;9422;20;46;50;18000;13000;20;46;50;1496;1796;2196;1296;0;0;0.2117647;0.5137255;0.6078432;1;0.454902;0.5529412;0.7843137;1;2.25;# Night 0
210;210;332;500;447;330;610;500;500;0;0;0;0;20;26;0;0;0;12144;10208;20;46;50;11406;11328;20;46;50;29000;14000;20;46;50;1496;1796;2196;1296;0;0;0.2117647;0.5137255;0.6078432;1;0.454902;0.5529412;0.7843137;1;2.25;# Night 1
