0;ANH_MAIN_F0_STN_B
1;ANH_ACC_F1_TBX_OPEN
2;ANH_ACC_F1_TBX_OPEN
3;ANH_ACC_F1_TBX_CLOSE
4;ANH_ACC_F1_TBX_CLOSE
5;ANH_NPC_F1_MOG_IDLE
6;ANH_NPC_F1_MOG_TURN_R
7;ANH_NPC_F1_MOG_RUN
8;ANH_NPC_F1_MOG_WALK
9;ANH_NPC_F1_MOG_TURN_L
10;ANH_NPC_F0_BND_TURN_L
11;ANH_NPC_F0_BND_TURN_R
12;ANH_NPC_F0_JJY_TURN_L
13;ANH_NPC_F0_JJY_TURN_R
14;ANH_NPC_F0_RMF_TURN_L
15;ANH_NPC_F0_RMF_TURN_R
16;ANH_NPC_F0_TMM_TURN_R
17;ANH_NPC_F0_TMM_TURN_L
18;ANH_NPC_F0_WRK_TURN_L
19;ANH_NPC_F0_WRK_TURN_R
20;ANH_NPC_F4_BND_TURN_L
21;ANH_NPC_F4_BND_TURN_R
22;ANH_ACC_F1_TBX_TO_OPEN
23;ANH_ACC_F1_TBX_TO_OPEN
24;ANH_NPC_F0_RMM_WALK
25;ANH_MAIN_F0_ZDN_WALK
26;ANH_NPC_F0_RMM_TURN_R
27;ANH_NPC_F0_RMM_TURN_L
28;ANH_NPC_F0_RMM_RUN
29;ANH_NPC_F0_RMM_IDLE
30;ANH_SUB_F0_BRN_TURN_R
31;ANH_SUB_F0_BRN_TURN_L
32;ANH_MON_B3_147_042
33;ANH_MON_B3_122_010
34;ANH_MON_B3_147_052
35;ANH_MON_B3_122_011
36;ANH_MON_B3_147_022
37;ANH_MON_B3_122_012
38;ANH_MAIN_F0_ZDN_RUN
39;ANH_MON_B3_147_032
40;ANH_MAIN_F0_ZDN_TURN_L
41;ANH_MAIN_F0_ZDN_TURN_R
42;ANH_MON_B3_122_013
43;ANH_MON_B3_147_TEST
44;ANH_MON_B3_122_014
45;ANH_SUB_F0_ZNR_NAGURARERU
46;ANH_MON_B3_147_043
47;ANH_MON_B3_125_B
48;ANH_MON_B3_147_053
49;ANH_MAIN_B0_007_220
50;ANH_SUB_F0_ZNR_NAGURARERU
51;ANH_MAIN_F1_ZDN_P
52;ANH_MAIN_F1_ZDN_P
53;ANH_NPC_F0_BAR_RUN
54;ANH_MAIN_F0_ZDN_BREAK1_STRCH
55;ANH_MAIN_F0_ZDN_BREAK1_FLEX
56;ANH_MAIN_F0_ZDN_BREAK1_LOOK
57;ANH_MAIN_F0_ZDN_BREAK1_XARM
58;ANH_MON_B3_125_P
59;ANH_MAIN_F0_ZDN_BREAK1_LOOKB
60;ANH_MON_B3_147_003
61;ANH_NPC_F2_BND_RUN
62;ANH_ACC_F0_BBT_B
63;ANH_MON_B3_147_040
64;ANH_NPC_F2_BND_TURN_L
65;ANH_ACC_F0_BBT_B
66;ANH_MON_B3_147_050
