# This file define basic parameters of characters.
# You must set at least 12 different items.
# -----------------------------------------------
# Id;DefaultRow;DefaultWinPose;DefaultCategory;DefaultCommandSet;DefaultEquipmentSet;BattleParameterFormula;NameKeyword
# Int32;Boolean;Boolean;UInt8;Int32;Int32;String;String
# -----------------------------------------------
0;1;1;9;0;0;WeaponShape == 1 ? 0 : 1;ZDNE;# Zidane
1;0;1;5;1;1;2;VIVI;# Vivi
2;0;1;6;2;2;ScenarioCounter < 10300 ? (WeaponShape == 7 ? 4 : 3) : (WeaponShape == 7 ? 6 : 5);DGGR;# Garnet
3;1;1;5;3;3;7;STNR;# Steiner
4;0;1;6;4;4;12;FRYA;# Freya
5;1;1;5;5;5;9;QUIN;# Quina
6;1;1;6;6;6;WeaponShape == 7 ? 11 : 10;EIKO;# Eiko
7;1;1;5;7;7;13;AMRT;# Amarant
8;1;1;21;8;8;14;CINA;# Cinna
9;1;1;21;10;9;15;MRCS;# Marcus
10;1;1;21;12;10;(1500 <= ScenarioCounter && ScenarioCounter < 1600) ? 17 : 16;BLNK;# Blank
11;1;1;22;14;11;18;BTRX;# Beatrix
