#! IncludeId
#! IncludeAuxiliaryIds
# This file contains a set of game items.
# You must set at least 256 different items.
# -----------------------------------------------
# Id;WeaponId;ArmorId;EffectId;Price;GraphicsId;ColorId;Quality;BonusId;AbilityIds;Weapon;Armlet;Helmet;Armor;Accessory;Item;Gem;Usable;Order;Zidane;Vivi;Garnet;Steiner;Freya;Quina;Eiko;Amarant;Cinna;Marcus;Blank;Beatrix
# Int32;Int32;Int32;Int32;UInt32;UInt8;UInt8;Single;Int32;Ability[];Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Single;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit
# -----------------------------------------------
0;0;-1;-1;250;0;0;1;0;0;1;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;0;0;# 000 - Hammer
1;1;-1;-1;320;1;0;1;0;AA:101;1;0;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;# 001 - Dagger
2;2;-1;-1;500;1;12;2;0;AA:102, AA:101;1;0;0;0;0;0;0;0;23;1;0;0;0;0;0;0;0;0;0;0;0;# 002 - Mage Masher
3;3;-1;-1;950;1;0;3;0;SA:62;1;0;0;0;0;0;0;0;24;1;0;0;0;0;0;0;0;0;0;0;0;# 003 - Mythril Dagger
4;4;-1;-1;2300;1;6;6;0;AA:105, AA:107;1;0;0;0;0;0;0;0;25;1;0;0;0;0;0;0;0;0;0;0;0;# 004 - Gladius
5;5;-1;-1;6000;1;0;9;0;AA:101;1;0;0;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;0;0;0;# 005 - Zorlin Shape
6;6;-1;-1;17000;1;0;13;149;AA:102;1;0;0;0;0;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;0;# 006 - Orichalcon
7;7;-1;-1;1300;2;0;4;0;AA:103, SA:38;1;0;0;0;0;0;0;0;28;1;0;0;0;0;0;0;0;0;0;0;0;# 007 - Butterfly Sword
8;8;-1;-1;1700;2;0;5;0;AA:104;1;0;0;0;0;0;0;0;29;1;0;0;0;0;0;0;0;0;0;0;0;# 008 - The Ogre
9;9;-1;-1;2800;2;0;7;0;AA:106, AA:107;1;0;0;0;0;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;# 009 - Exploda
10;10;-1;-1;3800;2;0;8;0;AA:107;1;0;0;0;0;0;0;0;31;1;0;0;0;0;0;0;0;0;0;0;0;# 010 - Rune Tooth
11;11;-1;-1;7000;2;0;10;0;AA:108;1;0;0;0;0;0;0;0;32;1;0;0;0;0;0;0;0;0;0;0;0;# 011 - Angel Bless
12;12;-1;-1;9500;2;0;11;0;AA:105;1;0;0;0;0;0;0;0;33;1;0;0;0;0;0;0;0;0;0;0;0;# 012 - Sargatanas
13;13;-1;-1;13000;2;0;12;150;AA:106;1;0;0;0;0;0;0;0;34;1;0;0;0;0;0;0;0;0;0;0;0;# 013 - Masamune
14;14;-1;-1;30000;2;0;14;0;AA:107, AA:108;1;0;0;0;0;0;0;0;35;1;0;0;0;0;0;0;0;0;0;0;0;# 014 - The Tower
15;15;-1;-1;40000;2;0;15;0;AA:101;1;0;0;0;0;0;0;0;36;1;0;0;0;0;0;0;0;0;0;0;0;# 015 - Ultima Weapon
16;16;-1;-1;330;3;0;1;0;SA:19;1;0;0;0;0;0;0;0;37;0;0;0;1;0;0;0;0;0;1;1;0;# 016 - Broadsword
17;17;-1;-1;660;3;0;2;0;AA:142;1;0;0;0;0;0;0;0;38;0;0;0;1;0;0;0;0;0;1;1;0;# 017 - Iron Sword
18;18;-1;-1;1300;3;0;3;0;AA:145;1;0;0;0;0;0;0;0;39;0;0;0;1;0;0;0;0;0;1;1;0;# 018 - Mythril Sword
19;19;-1;-1;1900;3;13;4;0;AA:141;1;0;0;0;0;0;0;0;40;0;0;0;1;0;0;0;0;0;1;1;0;# 019 - Blood Sword
20;20;-1;-1;3780;3;5;5;0;AA:146;1;0;0;0;0;0;0;0;41;0;0;0;1;0;0;0;0;0;1;1;0;# 020 - Ice Brand
21;21;-1;-1;4000;3;11;6;0;AA:148;1;0;0;0;0;0;0;0;42;0;0;0;1;0;0;0;0;0;1;1;0;# 021 - Coral Sword
22;22;-1;-1;4700;3;0;7;0;AA:144;1;0;0;0;0;0;0;0;43;0;0;0;1;0;0;0;0;0;1;1;0;# 022 - Diamond Sword
23;23;-1;-1;5190;3;9;8;0;AA:147;1;0;0;0;0;0;0;0;44;0;0;0;1;0;0;0;0;0;1;1;0;# 023 - Flame Saber
